,number_of_rooms,number_of_bathrooms,sqft,days_on_market,initial_price,location_good,location_great,location_poor,neighborhood_alcatraz_ave,neighborhood_berkeley_hills,neighborhood_downtown,neighborhood_east_elmwood,neighborhood_frontage_rd,neighborhood_north_berkeley,neighborhood_northwest,neighborhood_south_side,neighborhood_thowsand_oaks,neighborhood_west_welmwood,neighborhood_westbrae,neighborhood_zaytuna_college,rental_price
0,3,2,1102,17,4823,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4823.0
1,3,2,1190,1,5008,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5008.0
2,0,1,254,8,1566,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1566.0
3,3,2,1190,3,5475,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5475.0
4,2,1,549,6,3575,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3575.0
5,1,1,523,7,1941,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1941.0
6,1,1,477,31,1643,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1606.854
7,2,1,559,35,2786,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2702.42
8,3,2,941,10,4643,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4643.0
9,0,1,456,38,1525,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1470.1
10,3,2,898,3,4765,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4765.0
11,3,2,1120,13,4833,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4833.0
12,0,1,369,42,1308,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1250.448
13,3,2,1231,62,4425,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4053.3
14,1,1,748,48,1756,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1657.664
15,3,2,1081,26,4643,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4587.284000000001
16,2,1,625,14,3083,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3083.0
17,0,1,273,29,1379,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1354.1779999999999
18,2,1,768,6,3269,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3269.0
19,2,1,764,51,2878,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2699.5640000000003
20,1,1,347,63,1174,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1073.036
21,3,2,1200,10,4920,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4920.0
22,0,1,157,36,1172,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1134.496
23,0,1,466,13,1715,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1715.0
24,3,2,1038,62,4311,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3948.8759999999997
25,0,1,523,38,1561,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1504.8039999999999
26,0,1,506,19,1740,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1740.0
27,3,2,987,6,5298,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5298.0
28,0,1,336,60,1153,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1060.76
29,3,2,1085,13,5279,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5279.0
30,3,2,1024,9,4791,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4791.0
31,2,1,704,12,3137,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3137.0
32,0,1,267,32,1302,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1270.752
33,1,1,709,9,2161,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2161.0
